date,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT
2017-11-13,107.5390625,1752754.0,116.890625,3124399.0,124.625,3222704.0,152.40625,762195.0,164.875,845956.0
2017-11-14,107.5234375,1755213.0,116.9375,3125226.0,124.734375,3227296.0,152.875,752627.0,165.75,837797.0
2017-11-15,107.5390625,1731804.0,117.046875,3143762.0,125.046875,3227542.0,154.0,756583.0,167.40625,843538.0
2017-11-16,107.4921875,1741621.0,116.9296875,3210630.0,124.859375,3275498.0,153.5625,756246.0,166.625,838965.0
2017-11-17,107.4765625,1768384.0,116.9375,3188291.0,124.90625,3282603.0,153.78125,748630.0,167.03125,838295.0
2017-11-20,107.4296875,1739370.0,116.765625,3018855.0,124.6875,3171013.0,153.65625,736301.0,167.0,714354.0
2017-11-21,107.390625,1575755.0,116.6796875,2693379.0,124.6875,2999705.0,154.09375,672441.0,167.75,639708.0
2017-11-22,107.4921875,1300417.0,116.984375,2468843.0,125.109375,2666918.0,154.5,614101.0,168.21875,600754.0
2017-11-23,,1300417.0,,2468843.0,,2666918.0,,614101.0,,600754.0
2017-11-24,107.453125,1156983.0,116.8984375,2338188.0,124.96875,2488887.0,154.25,567083.0,167.8125,590114.0
2017-11-27,107.4765625,706307.0,116.9921875,1543350.0,125.125,1596298.0,154.34375,375281.0,167.6875,320839.0
2017-11-28,107.453125,335440.0,116.9140625,764994.0,124.96875,875737.0,154.28125,179249.0,167.6875,153163.0
2017-11-29,107.4296875,139194.0,116.8203125,379914.0,124.71875,364970.0,153.3125,79869.0,166.21875,73329.0
2017-11-30,107.375,81436.0,116.578125,248766.0,124.3125,201834.0,152.84375,51841.0,165.8125,45894.0
2017-12-01,107.390625,65611.0,116.6796875,155603.0,124.671875,143760.0,154.375,41761.0,168.0,41813.0
2017-12-04,107.3359375,55573.0,116.53125,135588.0,124.5,123810.0,154.125,36385.0,167.75,39607.0
2017-12-05,107.3046875,45247.0,116.5,91102.0,124.59375,111649.0,154.8125,32632.0,168.875,30601.0
2017-12-06,107.34375,41642.0,116.671875,72035.0,124.828125,100652.0,155.15625,22198.0,169.21875,29124.0
2017-12-07,107.3359375,34748.0,116.578125,64975.0,124.515625,91968.0,153.96875,21458.0,167.53125,26728.0
2017-12-08,107.359375,33584.0,116.59375,60002.0,124.515625,84613.0,154.0,17940.0,167.5625,22128.0
2017-12-11,107.3125,30500.0,116.53125,56023.0,124.5,76776.0,154.15625,16508.0,167.6875,21436.0
2017-12-12,107.3046875,25571.0,116.4765625,48986.0,124.359375,66206.0,153.78125,15669.0,167.375,20468.0
2017-12-13,107.3984375,20983.0,116.7734375,43550.0,124.828125,56561.0,154.8125,15317.0,168.75,13765.0
2017-12-14,107.3359375,19841.0,116.6640625,40674.0,124.78125,39513.0,155.21875,14871.0,169.53125,12213.0
2017-12-15,107.296875,17079.0,116.546875,33226.0,124.640625,33947.0,155.375,14847.0,170.0625,10227.0
2017-12-18,107.3125,14891.0,116.5234375,26377.0,124.453125,26123.0,154.28125,13837.0,168.46875,10144.0
2017-12-19,107.2734375,12708.0,116.2890625,23139.0,123.875,24022.0,152.53125,14113.0,166.03125,8800.0
2017-12-20,107.2578125,11106.0,116.2109375,22874.0,123.453125,3260173.0,150.5625,754809.0,163.59375,871116.0
2017-12-21,107.2265625,10583.0,116.1796875,23155.0,123.515625,3253094.0,151.1875,752910.0,164.8125,875038.0
2017-12-22,107.203125,10535.0,116.140625,23039.0,123.46875,3288796.0,151.0,751351.0,164.65625,875196.0
2017-12-25,,10535.0,,23039.0,,3288796.0,,751351.0,,875196.0
2017-12-26,107.2109375,8674.0,116.2109375,22660.0,123.625,3264932.0,151.625,753515.0,165.5,873816.0
2017-12-27,107.25,7833.0,116.375,21921.0,123.984375,3250127.0,152.9375,759049.0,167.4375,874676.0
2017-12-28,107.2421875,4026.0,116.3046875,20239.0,123.84375,3254784.0,152.71875,765620.0,167.21875,875532.0
2017-12-29,107.28125,,116.3671875,,124.046875,3220288.0,153.0,758825.0,167.65625,875572.0
2018-01-02,106.984375,1797752.0,115.9765625,3085886.0,123.6875,3250538.0,151.75,759743.0,165.6875,878305.0
2018-01-03,106.96875,1816655.0,115.984375,3072806.0,123.78125,3249921.0,152.3125,763272.0,166.4375,880641.0
2018-01-04,106.9140625,1829578.0,115.8671875,3089228.0,123.671875,3295285.0,152.3125,767158.0,166.40625,881918.0
2018-01-05,106.90625,1832448.0,115.796875,3085018.0,123.515625,3283962.0,151.8125,764684.0,165.6875,883004.0
2018-01-08,106.9140625,1842719.0,115.7890625,3108824.0,123.484375,3318658.0,151.71875,762420.0,165.59375,884750.0
2018-01-09,106.9140625,1851906.0,115.640625,3166521.0,123.046875,3349503.0,150.21875,771283.0,163.5,886839.0
2018-01-10,106.90625,1848247.0,115.625,3168341.0,123.0,3337478.0,150.0625,791735.0,163.34375,894874.0
2018-01-11,106.8984375,1850111.0,115.6796875,3176227.0,123.125,3341772.0,150.4375,796969.0,164.125,890344.0
2018-01-12,106.84375,1871641.0,115.53125,3193162.0,122.9375,3354022.0,150.5,790567.0,164.4375,886310.0
2018-01-16,106.8203125,1876100.0,115.5,3188750.0,122.984375,3351950.0,150.8125,785104.0,164.90625,885370.0
2018-01-17,106.7578125,1898941.0,115.3125,3192866.0,122.65625,3381970.0,150.3125,787938.0,164.46875,891839.0
2018-01-18,106.765625,1886648.0,115.265625,3222964.0,122.453125,3399986.0,149.4375,792496.0,163.28125,890946.0
2018-01-19,106.7421875,1915082.0,115.1484375,3245896.0,122.28125,3412713.0,149.0,795509.0,162.59375,895649.0
2018-01-22,106.7265625,1928653.0,115.0390625,3284579.0,122.09375,3449329.0,148.6875,805389.0,162.15625,895232.0
2018-01-23,106.7734375,1925316.0,115.2265625,3305862.0,122.421875,3485593.0,149.21875,808075.0,162.84375,895960.0
2018-01-24,106.734375,1955535.0,115.125,3329082.0,122.203125,3473306.0,148.46875,812706.0,161.84375,896175.0
2018-01-25,106.7265625,1985136.0,115.2109375,3367537.0,122.4375,3471962.0,149.40625,812133.0,163.46875,896568.0
2018-01-26,106.6640625,1996094.0,114.96875,3389772.0,122.0625,3498100.0,148.75,805693.0,162.625,900224.0
2018-01-29,106.6640625,1978760.0,114.875,3381270.0,121.8125,3560657.0,148.125,805759.0,161.8125,892176.0
2018-01-30,106.6640625,1960729.0,114.8359375,3361115.0,121.640625,3524586.0,147.375,801599.0,160.84375,892453.0
2018-01-31,106.6171875,1979870.0,114.7109375,3399915.0,121.578125,3574512.0,147.8125,802571.0,161.9375,902301.0
2018-02-01,106.5859375,1985735.0,114.546875,3436354.0,121.21875,3621206.0,146.5625,804204.0,160.125,901434.0
2018-02-02,106.59375,2003079.0,114.4140625,3459929.0,120.734375,3698840.0,144.78125,805109.0,157.5625,904665.0
2018-02-05,106.734375,1967539.0,114.7890625,3455324.0,121.265625,3689864.0,145.6875,799340.0,158.3125,899872.0
2018-02-06,106.7109375,1966722.0,114.828125,3406281.0,121.484375,3596624.0,146.03125,784048.0,159.0,905733.0
2018-02-07,106.640625,1966644.0,114.5703125,3417857.0,121.0,3569670.0,144.625,790636.0,157.03125,907373.0
2018-02-08,106.640625,1960844.0,114.5546875,3410433.0,120.890625,3594977.0,144.09375,795531.0,156.59375,901602.0
2018-02-09,106.765625,1998992.0,114.8203125,3352537.0,121.171875,3575202.0,144.15625,792766.0,156.53125,892074.0
2018-02-12,106.6875,2001152.0,114.6171875,3327264.0,120.890625,3572934.0,144.40625,824667.0,156.5625,903469.0
2018-02-13,106.6640625,1966748.0,114.640625,3310261.0,121.0,3578344.0,144.5625,817883.0,156.78125,904911.0
2018-02-14,106.53125,1993698.0,114.203125,3342398.0,120.328125,3611337.0,143.375,825704.0,155.34375,908949.0
2018-02-15,106.5234375,1997927.0,114.21875,3331737.0,120.453125,3619922.0,144.0,823625.0,156.25,898910.0
2018-02-16,106.5390625,1994949.0,114.3046875,3310883.0,120.578125,3594389.0,144.21875,822091.0,156.46875,895191.0
2018-02-19,,1994949.0,,,,3594389.0,,822091.0,,895191.0
2018-02-20,106.4921875,1874258.0,114.2109375,3287787.0,120.484375,3560218.0,143.875,809595.0,155.90625,870052.0
2018-02-21,106.4765625,1762669.0,114.0859375,3045930.0,120.203125,3398481.0,142.6875,775149.0,154.15625,742000.0
2018-02-22,106.515625,1438446.0,114.21875,2527584.0,120.421875,2979091.0,143.125,620203.0,154.625,557193.0
2018-02-23,106.5390625,937873.0,114.3828125,1706952.0,120.734375,2048253.0,144.0625,458674.0,155.96875,396546.0
2018-02-26,106.5546875,427902.0,114.4375,673400.0,120.828125,861744.0,144.21875,192928.0,156.03125,215666.0
2018-02-27,106.4921875,183034.0,114.1484375,241116.0,120.390625,411198.0,143.5625,74398.0,155.46875,106379.0
2018-02-28,106.4921875,100316.0,114.2265625,122905.0,120.65625,199381.0,144.4375,35314.0,156.71875,82932.0
2018-03-01,106.609375,62975.0,114.59375,85345.0,121.203125,143169.0,145.34375,27060.0,157.875,72626.0
2018-03-02,106.5546875,51574.0,114.390625,77221.0,120.796875,89903.0,144.4375,20196.0,156.71875,65091.0
2018-03-05,106.546875,43412.0,114.3125,61815.0,120.65625,72052.0,144.125,16295.0,156.1875,58798.0
2018-03-06,106.5390625,38969.0,114.296875,51379.0,120.671875,55866.0,144.40625,14151.0,156.5625,53054.0
2018-03-07,106.5390625,33715.0,114.28125,44270.0,120.640625,42644.0,144.125,9145.0,156.1875,45353.0
2018-03-08,106.5390625,30927.0,114.3515625,35766.0,120.796875,37234.0,144.59375,5714.0,156.71875,39245.0
2018-03-09,106.5390625,30099.0,114.2734375,33883.0,120.65625,32631.0,144.15625,2183.0,156.0625,34162.0
2018-03-12,106.546875,29883.0,114.34375,24647.0,120.84375,28104.0,144.75,2233.0,156.84375,31294.0
2018-03-13,106.546875,29476.0,114.3828125,21371.0,120.921875,22827.0,145.15625,1995.0,157.65625,26464.0
2018-03-14,106.5625,29316.0,114.46875,19718.0,121.140625,21240.0,145.875,1752.0,158.875,20480.0
2018-03-15,106.5234375,29292.0,114.421875,17693.0,121.09375,17180.0,145.8125,1562.0,158.8125,19236.0
2018-03-16,106.5,28330.0,114.3125,16301.0,120.96875,11517.0,145.4375,1362.0,158.28125,16610.0
2018-03-19,106.5078125,27354.0,114.3203125,14880.0,121.0,5179.0,145.53125,888.0,158.34375,10026.0
2018-03-20,106.4453125,24113.0,114.1640625,11310.0,120.71875,2381.0,144.8125,833.0,157.375,7023.0
2018-03-21,106.4921875,14919.0,114.109375,15271.0,119.953125,3545808.0,143.5,785409.0,156.0625,939943.0
2018-03-22,106.5234375,12484.0,114.3984375,2994.0,120.515625,3536574.0,144.75,796967.0,157.78125,946269.0
2018-03-23,106.5546875,11811.0,114.5,2945.0,120.609375,3498508.0,144.71875,788425.0,157.625,945652.0
2018-03-26,106.5234375,11641.0,114.3828125,2819.0,120.46875,3490478.0,144.71875,793328.0,157.71875,945571.0
2018-03-27,106.578125,9681.0,114.671875,3096.0,120.90625,3502447.0,145.625,799319.0,158.84375,943277.0
2018-03-28,106.546875,6720.0,114.6328125,6935.0,120.90625,3510467.0,145.875,793058.0,159.3125,943713.0
2018-03-29,106.546875,,114.734375,,121.140625,3467962.0,146.625,782191.0,160.46875,944104.0
2018-04-02,106.375,1924760.0,114.5703125,3408799.0,121.265625,3437920.0,146.75,785655.0,160.53125,942603.0
2018-04-03,106.2890625,1918159.0,114.3046875,3397729.0,120.84375,3438089.0,145.875,773647.0,159.21875,937421.0
2018-04-04,106.28125,1918764.0,114.296875,3383204.0,120.828125,3440076.0,145.71875,768147.0,158.9375,937528.0
2018-04-05,106.25,1936917.0,114.140625,3410704.0,120.5625,3443868.0,144.90625,767085.0,157.71875,939255.0
2018-04-06,106.328125,1949839.0,114.390625,3423235.0,121.015625,3435277.0,146.03125,765284.0,159.25,942432.0
2018-04-09,106.296875,1931362.0,114.3125,3425309.0,120.90625,3455186.0,146.0625,762463.0,159.34375,946051.0
2018-04-10,106.2578125,1932954.0,114.2109375,3430080.0,120.765625,3462912.0,145.9375,769177.0,159.375,950832.0
2018-04-11,106.265625,1956306.0,114.2421875,3431137.0,120.84375,3474150.0,146.125,783415.0,159.625,949662.0
2018-04-12,106.1875,1971572.0,113.984375,3487654.0,120.46875,3530380.0,145.375,789755.0,158.6875,953855.0
2018-04-13,106.1484375,1977435.0,113.9609375,3472674.0,120.484375,3514382.0,145.40625,791820.0,158.75,953982.0
2018-04-16,106.1484375,2011307.0,113.9453125,3489826.0,120.46875,3537027.0,145.46875,800527.0,158.9375,957586.0
2018-04-17,106.140625,1994332.0,113.96875,3515433.0,120.5625,3575383.0,146.03125,809521.0,159.84375,962736.0
2018-04-18,106.0625,1989212.0,113.71875,3570046.0,120.140625,3626737.0,144.9375,807546.0,158.5625,957429.0
2018-04-19,106.0546875,1999133.0,113.59375,3543393.0,119.828125,3708105.0,143.78125,816030.0,156.90625,959359.0
2018-04-20,106.0234375,2005097.0,113.4453125,3543973.0,119.546875,3766840.0,143.09375,813149.0,155.9375,961240.0
2018-04-23,106.0078125,1998287.0,113.3359375,3536374.0,119.328125,3780157.0,142.96875,814499.0,155.90625,961198.0
2018-04-24,106.0390625,1993067.0,113.390625,3553169.0,119.328125,3767399.0,142.53125,813033.0,155.1875,965436.0
2018-04-25,106.015625,2008885.0,113.296875,3664996.0,119.078125,3745047.0,141.75,819698.0,154.125,963479.0
2018-04-26,106.015625,1996741.0,113.375,3660538.0,119.3125,3723031.0,142.375,820534.0,155.0,965762.0
2018-04-27,106.03125,1981619.0,113.4453125,3641689.0,119.5,3682252.0,143.25,814678.0,156.34375,968018.0
2018-04-30,106.0234375,2001730.0,113.5078125,3660688.0,119.625,3676657.0,143.84375,821854.0,157.125,971042.0
2018-05-01,105.9765625,1986816.0,113.3515625,3652786.0,119.375,3663933.0,143.15625,830054.0,156.0625,969911.0
2018-05-02,106.015625,2018423.0,113.4375,3675674.0,119.515625,3679034.0,143.25,843936.0,156.125,972508.0
2018-05-03,106.046875,2033033.0,113.53125,3691288.0,119.6875,3667464.0,143.5625,843250.0,156.5,971892.0
2018-05-04,106.0078125,2046106.0,113.5234375,3660498.0,119.703125,3675165.0,143.65625,844769.0,156.71875,976446.0
2018-05-07,106.015625,2048872.0,113.515625,3646764.0,119.6875,3687376.0,143.5625,844560.0,156.59375,977806.0
2018-05-08,105.984375,2051295.0,113.40625,3625780.0,119.515625,3717084.0,143.375,843373.0,156.4375,980215.0
2018-05-09,105.9453125,2054010.0,113.2734375,3618682.0,119.265625,3713852.0,142.65625,843437.0,155.625,980396.0
2018-05-10,105.9296875,2051352.0,113.28125,3596570.0,119.390625,3707066.0,143.1875,854256.0,156.59375,987930.0
2018-05-11,105.9375,2044469.0,113.2890625,3608543.0,119.40625,3705368.0,143.125,846218.0,156.71875,988718.0
2018-05-14,105.9296875,2057344.0,113.2421875,3597894.0,119.25,3720892.0,142.75,846164.0,156.28125,990322.0
2018-05-15,105.8671875,2079581.0,112.90625,3540835.0,118.609375,3698262.0,141.0625,854984.0,154.125,998635.0
2018-05-16,105.8515625,2060517.0,112.875,3530473.0,118.546875,3670414.0,140.9375,861204.0,153.9375,994711.0
2018-05-17,105.875,2066147.0,112.8984375,3511817.0,118.515625,3675061.0,140.4375,866349.0,153.15625,997572.0
2018-05-18,105.921875,2045054.0,113.078125,3442808.0,118.84375,3641331.0,141.1875,868914.0,154.125,998906.0
2018-05-21,105.8984375,2005512.0,113.0625,3349866.0,118.84375,3548609.0,141.28125,850896.0,154.25,977252.0
2018-05-22,105.90625,1871785.0,113.0703125,3245236.0,118.875,3446093.0,141.25,817648.0,154.15625,943247.0
2018-05-23,106.015625,1675432.0,113.3671875,2993852.0,119.390625,3190636.0,142.21875,696823.0,155.21875,707138.0
2018-05-24,106.0546875,1331541.0,113.453125,2506078.0,119.5,2431001.0,142.78125,537656.0,156.21875,480746.0
2018-05-25,106.1171875,1060789.0,113.6875,1767634.0,119.859375,1843048.0,143.6875,369474.0,157.1875,387260.0
2018-05-28,,1060789.0,,1767634.0,,1843048.0,,369474.0,,387260.0
2018-05-29,106.4296875,378583.0,114.578125,731780.0,121.234375,720363.0,146.25,173980.0,160.6875,184099.0
2018-05-30,106.234375,130547.0,114.1015625,154696.0,120.609375,255540.0,145.4375,76590.0,159.40625,117497.0
2018-05-31,106.2265625,65320.0,114.109375,98167.0,120.734375,153321.0,146.0,37943.0,160.21875,76761.0
2018-06-01,106.125,45490.0,113.78125,68876.0,120.171875,106208.0,144.8125,27929.0,158.5625,55788.0
2018-06-04,106.046875,31712.0,113.578125,59317.0,119.828125,81336.0,144.125,17030.0,157.5625,45175.0
2018-06-05,106.0859375,20801.0,113.6953125,56580.0,120.03125,68796.0,144.3125,14619.0,157.78125,38903.0
2018-06-06,106.046875,17084.0,113.46875,55741.0,119.625,48034.0,143.25,11964.0,156.34375,37246.0
2018-06-07,106.0703125,15988.0,113.6171875,56582.0,119.921875,41167.0,144.125,10798.0,157.65625,36181.0
2018-06-08,106.09375,13166.0,113.6484375,50109.0,119.921875,35790.0,144.03125,10257.0,157.5625,34199.0
2018-06-11,106.0546875,12622.0,113.53125,48804.0,119.765625,32218.0,143.65625,9737.0,157.15625,33499.0
2018-06-12,106.0390625,13101.0,113.5,47207.0,119.734375,29468.0,143.75,9182.0,157.28125,30484.0
2018-06-13,105.953125,10604.0,113.34375,45316.0,119.515625,20791.0,143.4375,5902.0,156.96875,29505.0
2018-06-14,105.9765625,9633.0,113.4453125,42532.0,119.75,15639.0,144.125,5593.0,157.9375,19983.0
2018-06-15,106.0078125,7776.0,113.5234375,41391.0,119.890625,13311.0,144.5,5092.0,158.46875,11285.0
2018-06-18,106.015625,7779.0,113.5234375,36900.0,119.90625,11358.0,144.40625,4627.0,158.28125,9367.0
2018-06-19,106.03125,7684.0,113.671875,35514.0,120.140625,7130.0,144.9375,3237.0,159.0,8662.0
2018-06-20,106.015625,7669.0,113.5546875,34902.0,119.96875,5711.0,144.5,3063.0,158.40625,3163.0
2018-06-21,106.046875,7668.0,113.6953125,35250.0,119.859375,3469995.0,143.96875,795195.0,157.9375,965205.0
2018-06-22,106.03125,7668.0,113.6796875,34373.0,119.828125,3469821.0,143.96875,789651.0,157.90625,962011.0
